-1	1186:2	2481:2	6942:6	7810:2	8417:2	10153:2	11215:2	12664:2	13417:10	14389:2	15438:4	16361:2	16966:2	17063:10	19074:2	19464:2	20252:2	20859:2	20874:4	20933:6	21042:6	25369:2	29172:6	29659:6	30123:2	30195:4	32187:2	32274:2	32295:26	32539:6	33224:16	35972:6	36061:2	37522:2	37679:6	37967:2	38345:2	42046:6	42073:2	45577:2	47799:6	47894:2	47896:4																																																																																																																																																																																						
1	777:1	3069:1	4468:1	4816:1	4852:1	9052:1	14217:1	14336:1	19235:1	19336:1	20498:1	20747:2	22530:1	30178:1	34060:1	35110:1	35805:1	36376:1	38763:1	41220:1	42967:1	43041:2	44586:1	44991:1	45089:1	46341:2	47140:1	47799:2	47818:1	47831:1																																																																																																																																																																																																			
1	24:1	839:1	3037:1	5164:1	6399:1	9124:1	9242:1	12428:1	14866:1	15404:1	18257:1	19336:1	20200:1	20498:1	23919:1	24597:1	27075:1	29659:2	32295:3	33145:1	33224:1	33985:1	37522:1	38928:1	41224:1	43972:1	47799:2	47831:1																																																																																																																																																																																																					
1	777:1	3011:1	4468:1	9052:1	14336:1	19235:1	19336:1	20498:1	20747:1	21079:1	24983:1	34060:1	35529:1	35805:1	35952:1	38763:1	41220:1	43041:2	43696:1	44586:1	44991:1	45089:1	46341:2	47140:1	47799:2	47818:1	47831:1																																																																																																																																																																																																						
1	623:1	839:1	1016:1	1237:1	1332:1	1420:1	2052:1	3726:1	7398:1	7856:1	8469:1	8612:1	10167:1	11174:1	11554:1	12428:1	15162:1	17348:1	17409:1	18127:1	18254:2	18822:1	19336:1	20200:1	20284:1	20498:1	20534:1	24563:1	24820:1	24909:1	25196:1	27190:1	28282:1	29143:1	29659:1	30537:1	30731:1	32036:1	32295:3	33224:3	33810:1	34207:1	34422:1	35602:1	37275:1	38716:1	41135:1	43303:1	43788:1	44118:1	44586:4	44953:1	47799:2	47831:1																																																																																																																																																																											
1	777:1	3149:1	3726:1	4468:1	10799:1	16498:1	19235:1	19336:1	20498:1	21976:1	22139:1	24296:1	24816:1	26458:1	31420:1	33998:1	34222:1	38990:1	40888:1	41135:1	41220:1	41359:1	41736:1	42968:1	43041:2	44586:1	45551:1	45784:1	46341:2	46841:1	47799:2	47818:1	47831:1																																																																																																																																																																																																
1	623:1	839:1	1237:1	1420:1	2052:1	3726:1	6330:1	8469:1	8612:1	12159:1	12428:1	13184:1	13653:1	16719:1	17409:1	18127:1	18254:2	18822:1	19336:1	20200:1	20498:1	20793:1	24820:1	25245:1	26299:1	28282:1	29143:1	29202:1	29659:1	30537:1	32036:1	32295:3	33224:3	33810:1	34422:1	38716:1	40281:1	40291:1	41135:1	41402:1	44118:1	44216:1	44586:2	44781:1	44953:1	47799:2	47831:1																																																																																																																																																																																		
-1	517:1	1668:2	1683:1	1893:2	4656:1	5639:1	7110:1	7142:1	7709:2	8093:1	8231:1	8474:1	8612:4	11958:1	12217:1	14687:1	14699:3	15451:1	15497:1	16198:3	16239:1	16378:1	17773:1	17896:1	18822:1	20661:5	23051:1	23395:1	23502:1	24681:1	27043:1	27819:1	28077:1	29659:1	30540:1	31385:1	31655:1	31983:1	32261:2	32295:3	32328:1	33224:2	35456:1	36563:1	36665:1	37350:1	37552:1	38328:1	40075:1	40333:1	40393:1	40903:1	42009:1	42260:1	42760:1	42955:1	43041:2	43774:1	43806:1	44680:1	44985:1	45551:1	45776:2	46341:2	46499:1	46961:1	47202:1	47799:3	47931:2	47947:1																																																																																																																																																											
-1	6526:3	10689:3	19235:3	25111:3	27995:1	29610:3	32246:3	32295:3	43014:3	43972:3																																																																																																																																																																																																																							
1	52:1	299:1	1428:1	2823:1	3045:1	4703:1	4886:1	5454:1	6682:1	7362:1	7860:1	8612:1	8767:1	10223:1	10290:1	10911:1	12084:1	12143:1	12819:1	13307:1	13417:6	14860:1	15381:1	15688:1	17063:1	18375:1	20507:1	22199:1	22272:1	25843:1	27071:1	29172:2	29673:1	29869:1	30556:1	31302:1	31702:1	32003:1	32036:2	32295:7	32539:1	32636:1	33224:9	34045:1	34198:1	35372:1	35895:1	36699:2	37679:1	38531:1	39869:1	41135:1	41384:1	42046:2	43874:1	44958:1	46858:1	47740:1	47799:1	47826:1																																																																																																																																																																					
-1	714:1	1148:1	3726:1	3820:2	6294:1	8175:1	8612:2	9023:1	9082:1	11597:1	13417:2	16554:1	16819:1	16872:1	17063:1	17441:1	18550:1	18786:1	19000:1	20747:1	21549:1	21919:1	24090:1	26607:1	28628:1	29172:2	29573:1	31243:1	31493:1	32295:3	32539:1	32575:1	32773:1	33224:4	34781:1	36376:1	36582:1	37679:1	39719:1	42046:2	43041:1	43972:1	44586:1	46341:1	46834:1	46970:1	47799:1																																																																																																																																																																																		
1	2279:1	2823:2	4487:1	7134:1	8164:1	8612:2	11108:1	13417:2	17436:1	22272:1	23788:1	29172:1	29634:1	29673:1	29869:1	30556:1	31133:1	31302:1	32295:3	32301:1	33137:1	33224:3	34045:1	40594:1	47154:1	47799:1	47826:1																																																																																																																																																																																																						
-1	224:2	316:1	517:1	1668:1	1893:2	2168:1	3585:1	4081:1	4558:1	5046:1	5391:1	5497:1	5633:1	5757:1	6734:1	7709:1	8065:1	8612:2	10635:1	10976:1	11335:1	11554:1	11632:1	12598:1	14416:1	14699:2	15990:1	16198:4	16379:1	16459:1	17434:1	17520:1	17837:1	18507:1	18805:1	18822:1	19251:1	19504:1	20534:1	20661:8	21780:1	22222:1	22759:1	23158:1	23898:1	26257:1	26324:1	26561:1	29659:1	31983:1	32261:1	32295:2	32803:1	32949:1	33178:2	33224:1	33515:1	33860:1	36683:1	37333:1	38716:1	40391:1	41854:1	41867:1	42864:1	43041:1	43788:3	44126:1	44161:1	44272:1	44586:5	44701:1	44773:1	44940:1	45551:1	45776:4	46341:1	46625:1	47202:1	47799:2	47866:1	48019:1																																																																																																																																															
-1	8612:1	9207:1	11554:1	16532:1	29869:1	30210:1	31302:1	34045:1	38716:1	39841:1	42378:1	44586:2	47799:1	47826:1																																																																																																																																																																																																																			
1	1428:1	4548:1	4670:1	5169:1	5304:1	10516:1	10911:1	13417:1	14713:1	15381:2	17713:1	18281:1	19156:1	20134:1	20241:1	20829:1	21976:1	22272:1	22556:1	23560:1	24040:1	29172:1	29869:1	30085:1	30286:1	31302:1	32262:1	32295:4	33224:5	33249:1	34045:1	36016:1	36536:1	38778:1	40370:1	41135:1	42642:1	43041:1	43972:1	45619:1	46341:1	47197:1	47395:1	47799:2	47826:1																																																																																																																																																																																				
1	185:1	1295:1	1428:1	1915:1	2178:1	2567:1	3428:1	4448:1	6131:1	6669:1	6793:1	7860:1	9774:1	10911:1	13417:4	13617:1	13928:1	14673:1	15381:1	16198:2	16429:1	17063:3	18254:1	19956:1	21336:1	21622:1	23250:1	26434:1	27151:1	27712:2	29172:2	29316:1	30195:1	30519:1	30878:1	32295:7	32539:1	32757:1	33224:9	37059:1	37202:1	37679:1	38225:1	38653:1	40455:1	40487:1	41135:2	41265:1	42046:2	44206:1	45981:1	47100:1	47621:1	48016:1																																																																																																																																																																											
1	1148:1	3011:1	3056:1	3838:1	5503:1	6759:1	7602:1	9082:1	9577:1	13417:2	15978:1	16545:1	16613:1	16872:1	18771:1	19235:1	19464:1	20747:1	20872:1	26238:1	29137:1	29172:2	32295:3	33224:4	33613:1	34781:1	36808:1	37522:1	38516:1	39493:1	40264:1	42046:2	43014:1	43041:1	43972:1	45297:1	46341:1	47799:1																																																																																																																																																																																											
