Class,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,CalcNumAmideBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,RingCount,FractionCSP3,TPSA,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,VSA_EState8,VSA_EState9,VSA_EState10
1,1.85603862083627,901.10696063842,1226693.11861128,-3.33,15.2125341298821,6.65336751083956,3.04163025907677,17.0622671644987,12.3476678905501,13.9383656546186,8.20232044128759,5.76956934216609,4.17695772837309,2.87748049908628,13.9383656546186,8.20232044128759,5.76956934216609,4.17695772837309,2.87748049908628,5.4193,101.4477,326.399,326.141913196,25,308.255,1,3,2,1,3,4,122,0,4,0,0,3,0,0,1,0,0,4,0.045454545454546,37.91,146.509981483553,9.72084147474726,0,4.98397852094721,0,0,60.6636706846161,24.2654682738464,16.690354475091,18.4976535309745,11.5739163312838,0,0,0,0,4.73686295380005,9.96795704189442,0,0,7.10979754127753,84.9291389584626,0,39.6521267960717,0,4.73686295380005,17.077754583172,0,0,0,84.9291389584626,0,33.9026149627878,0,5.74951183328391,0,0,0,0,39.6521267960717,0,7.10979754127753,60.6636706846161,29.2494467947936,9.72084147474726,0,0,50.6666666666667,0
1,3.32807401029477,377.372920240102,918.553620777289,-2.02,9.07107468123862,4.11783434745324,1.96587975021065,9.68179827587471,6.29122366008484,6.94297457949652,3.54669241732007,2.3274452287402,1.60880079007981,0.952209124673965,6.94297457949652,3.54669241732007,2.3274452287402,1.60880079007981,0.952209124673965,1.92962,46.742,174.159,174.042927432,13,168.111,0,4,4,0,4,2,64,0,1,0,0,1,0,0,0,0,0,1,0.111111111111111,58.86,74.6399186344946,0,0,9.58907436814364,9.98480946527134,0,6.06636706846161,19.0564713366138,5.563451491697,11.3747725493671,0,0,12.1598789594777,0,0,9.58907436814364,0,9.98480946527134,6.92373719969062,0,23.7625526970818,0,0,23.5346515088449,0,12.1598789594777,9.58907436814364,6.92373719969062,5.563451491697,28.1839106706562,0,0,11.3747725493671,0,0,0,0,16.9382240410641,0,12.1598789594777,25.1228384050755,0,9.98480946527134,0,9.58907436814364,0,38,0
-1,2.09749868388294,684.510935340543,30610.0277699426,-1.97,13.0335620558179,3.77883382788984,1.39059398610839,14.706742302257,9.28752925300443,10.5009240689507,5.90368362410346,5.15886643991852,3.99402382943487,2.9266934059417,11.3174206498784,7.45000310202502,7.72566250606049,6.75648712189596,5.28631300425902,-1.5232,64.0216,300.296,300.052840484,20,288.2,1,9,7,1,10,3,108,1,1,2,2,0,0,0,1,2,2,3,0.6,122.46,113.637122738197,10.0064371256912,9.47634011921701,13.2123341684008,0,5.09868180830104,5.21338509565487,6.92373719969062,6.19684357161308,19.1624216004517,10.1208952661863,15.8790939655655,5.90717972935151,0,5.96930528795185,23.1133987473133,19.8937795699516,0,36.0520513238635,0,12.3936871432262,0,0,21.7137381537209,0,61.4573250617588,25.9710839104737,0,13.3445588226166,12.3936871432262,0,0,0,0,0,37.8764742490551,12.9655780288386,0,4.89990973085048,23.999227278062,0,0,10.3120669039559,0,23.1133987473133,26.3559774187453,38.605943877551,-3.79525462962963
-1,3.19486502462701,120.774514362726,128.884512706973,-0.83,9.17,4.99484132864147,5.309470013947,7.98312766312544,4.66390246014701,6.46238078917695,3.10450180713411,2.17489737677373,0.94948832613233,0.387735529158244,6.46238078917695,3.10450180713411,2.17489737677373,0.94948832613233,0.387735529158244,0.2772,39.71,143.186,143.094628656,10,130.082,0,3,3,0,3,4,58,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,29.54,61.2742016817789,9.63677268465053,0,4.79453718407182,0,0,6.5789356835985,14.0953439653544,12.6207765127465,0,6.60688196451292,0,0,0,5.96930528795185,9.53140013787187,4.89990973085048,0,0,27.2469823357799,12.6549557904324,0,0,5.96930528795185,0,38.1161973545822,9.53140013787187,0,0,12.6549557904324,0,0,0,0,0,0,5.96930528795185,6.60688196451292,12.6207765127465,0,0,18.9952536962049,6.5789356835985,4.73686295380005,4.79453718407182,0,26.1666666666667,0
-1,3.28246290745352,205.91988337223,156.495801385346,0.38,8.47633911368015,3.18546695011809,1.70109648593165,7.7236146391316,4.60906090528062,4.66655843041616,2.41062948439771,1.68042565726565,0.963206153162036,0.498292645493479,7.69027421448998,3.92248737643462,3.30922616422808,2.40750628553458,1.26464286550239,4.3002,46.482,215.894,213.891060784,10,213.878,0,0,0,0,4,0,54,0,1,0,0,1,0,0,0,0,0,1,0,0,78.6444680270237,0,0,0,0,0,46.4037595609301,12.1327341369232,0,20.0905332549653,0,0,0,0,0,0,0,0,0,0,32.2232673918885,0,0,46.4037595609301,0,0,0,0,0,12.1327341369232,20.0905332549653,0,0,0,46.4037595609301,0,0,20.0905332549653,0,12.1327341369232,0,0,0,46.4037595609301,0,0,4.66753086419753,22.4435802469136
1,2.663825324794,462.089979725796,2656.61890739422,-1.68,8.89805553301049,3.59215346770657,1.29401631544424,9.96625532625088,6.86370330515627,7.55085398528496,4.40018643372675,3.07131286568769,2.24405103680732,1.61887598269209,7.55085398528496,4.40018643372675,3.07131286568769,2.24405103680732,1.61887598269209,1.7056,53.9208,190.202,190.07422756,14,180.122,1,4,4,1,4,3,72,0,2,0,0,1,0,0,1,0,0,2,0.2,54.59,80.7211855442965,5.10652739484071,0,4.67610244089541,0,4.90706524398828,18.1991012053848,18.0506401830846,18.1899497505908,10.802585438579,0,0,0,0,0,5.10652739484071,4.67610244089541,5.28588472096271,6.42082162292601,6.60688196451292,40.9328285811448,0,0,10.9029249320811,0,16.389511800249,6.42082162292601,4.90706524398828,5.563451491697,35.7481965664222,0,10.9029249320811,0,0,0,0,6.60688196451292,6.42082162292601,16.4663764237781,4.67610244089541,6.19684357161308,24.2654682738464,5.28588472096271,5.10652739484071,4.90706524398828,1.29199074074074,34.7080092592593,0
1,2.13987374087929,611.840722975812,14800.1815249832,-1.73,12.7198195994071,5.2789485663704,2.93305612869542,13.1209558646301,8.5585506480638,8.92227284550239,4.85908056561444,3.395200575785,2.11023559606471,1.30922649313411,11.3247659655448,6.53173164642669,5.20055707159829,3.48368660618986,2.41233195132543,3.6711,73.0686,327.159,325.936075184,18,320.103,1,5,4,1,7,3,92,1,2,0,0,1,0,0,1,0,0,2,0,72.24,114.725710322162,5.31678860400633,14.9088554528374,0,0,0,33.3330968443457,18.1991012053848,21.6065356294435,10.4867625405147,0,0,0,5.90717972935151,5.00108197668787,9.71784823288949,0,0,0,5.31678860400633,55.8623873890689,0,0,43.862377756607,5.31678860400633,10.8304907781692,0,10.1143182687656,10.3579886757688,40.1846176286064,0,0,10.6884682513714,0,27.2667297758841,4.92331104881767,16.4717131977364,5.68738627468356,15.8095053937671,11.4464298389275,18.1991012053848,6.06636706846161,21.2467325019557,0,14.9088554528374,0.844073312967162,45.349145116214,0.930517237759301
-1,1.93049041495772,911.938507248032,347520.886962966,-3.08,15.8019659548806,6.99851395405808,3.45743954315017,16.9409468209391,11.669035095596,13.151607437399,7.58882305578621,5.09258862073412,3.42095766161384,2.31478200663771,13.151607437399,7.58882305578621,5.09258862073412,3.42095766161384,2.31478200663771,3.4019,90.0480000000001,324.332,324.099773612,24,308.204,0,5,5,0,5,5,122,0,3,0,0,2,0,0,1,0,0,3,0.157894736842105,65.74,137.984881797993,13.8908768446534,4.79453718407182,4.79453718407182,0,0,30.331835342308,19.0564713366138,17.6961856286202,11.9931061789777,17.0927793938006,12.0356723564135,0,0,5.96930528795185,18.6854140287253,0,0,6.92373719969062,13.2137639290258,64.8206311921269,0,17.0732107438553,16.9385496440589,10.1656533457006,19.1830692169777,9.53140013787187,0,6.92373719969062,63.8089917372797,0,22.2929432666785,0,5.74951183328391,0,5.96930528795185,12.0356723564135,29.0858855727783,5.563451491697,6.06636706846161,25.1228384050755,30.331835342308,0,13.8908768446534,9.58907436814364,5.82746512030738,53.3392015463593,0
1,2.84201501598089,210.105908540154,237.587417309747,-1.38,6.73600928074246,2.96088756955749,1.31284033343296,7.39734122549854,4.8425352551011,5.68942682741191,2.96407818160795,1.94080561477954,1.2523370309062,0.690872421515879,5.68942682741191,2.96407818160795,1.94080561477954,1.2523370309062,0.690872421515879,1.8042,40.64,136.154,136.063662876,10,128.09,0,3,2,0,3,2,52,0,1,0,0,1,0,0,0,0,0,1,0.142857142857143,32.67,59.2210469085624,0,0,5.00891252395453,0,4.90706524398828,18.1991012053848,12.1327341369232,7.04767198267719,10.9732709956463,0,0,0,0,0,0,0,5.28588472096271,0,12.0565845066317,35.2389005862963,0,0,5.68738627468356,5.00891252395453,7.04767198267719,0,4.90706524398828,0,35.6177200632708,0,0,5.68738627468356,0,0,0,0,0,5.68738627468356,5.00891252395453,7.04767198267719,30.331835342308,5.28588472096271,0,4.90706524398828,0,25.6666666666667,0
1,1.88203407207525,1078.34003424384,621145.432232275,-2.53,13.8678724903113,4.30214678220763,1.64878013302864,16.6374637225752,11.4938190470611,13.4974872399024,8.06351456406049,6.91323700010649,5.35605394039991,3.80261945204641,13.4974872399024,8.06351456406049,6.91323700010649,5.35605394039991,3.80261945204641,2.4897,90.8368,323.348,323.115758024,24,306.212,1,5,5,1,5,1,122,0,3,1,2,2,0,0,1,1,2,5,0.31578947368421,63.99,137.585188341084,19.1473529502322,4.79453718407182,0,0,0,12.1327341369232,19.0564713366138,30.4845363802266,23.0265076142102,23.2040408652998,0,5.42879039190054,0,0,14.5802533024408,4.56709964779136,7.04767198267719,25.0495760213486,6.60688196451292,46.1186144099774,0,11.4990236665678,21.8058498641621,10.1656533457006,27.985526205877,18.2053565594033,0,12.4871886913876,35.1263725263799,0,21.8058498641621,0,11.4990236665678,0,0,22.8833194239164,29.5496638496524,16.5968529269295,0,12.1327341369232,36.737610035544,0,9.4737259076001,9.90106457891253,1.97861961451247,52.9380470521542,0
