1	1856:1	2046:2	2244:2	2537:1	3050:1	3885:1	4017:1	4837:1	5458:1	5882:1	7988:1	8362:1	8508:5	13654:2	13854:10	14084:1	14435:1	15221:1	15916:1	17375:1	18648:1	18660:2	21261:1	21269:1	21337:4	21340:1	21477:1	22802:1	22861:2	23128:4	26256:1	26700:1	28277:1	29309:1	30009:1	31056:2	31138:2	31315:1	32556:1	32940:1	33275:7	33323:2	34297:11	35031:2	35260:1	35823:4	35927:2	36877:1	37685:1	37804:1	38382:1	38494:1	38555:1	38990:2	39547:3	39962:1	40956:1	41660:1	42059:1	42351:1	44264:1	44637:1	45090:1	45903:3	47074:1	47163:2	48399:1	48449:2																																																																																																																																																		
1	3767:1	3885:1	7789:2	8109:1	8505:1	9140:4	11456:1	13418:2	16730:3	17714:1	18321:1	20575:8	20927:2	21280:2	21337:14	25137:2	25837:1	27338:1	29955:1	30260:1	32665:1	35687:1	38672:1	39338:2	39623:1	39932:1	41907:2	42243:1	44517:1	44749:5	45271:1	45625:1	45903:1	47143:5																																																																																																																																																																																				
1	368:1	760:1	1089:1	2663:1	5699:5	5777:1	8421:1	8562:1	8938:3	9505:1	11920:1	13854:2	16828:1	18193:1	19242:1	21122:1	21199:1	21822:1	22168:1	22826:2	24786:1	26605:1	26643:1	27026:1	27892:1	29876:1	29980:3	33275:1	33988:7	34297:5	34814:2	35454:1	39887:1	42039:1	43300:2	45090:9	45903:12	46116:1																																																																																																																																																																																
1	453:1	760:2	1955:1	2074:2	2574:1	3620:1	4896:2	5013:2	5458:2	5565:4	7612:1	7634:1	8060:1	8938:4	12618:1	13854:6	15916:1	17921:2	20260:1	22505:1	25465:3	26643:2	27847:1	29980:6	33275:5	34297:13	34350:4	36877:1	36985:1	37149:1	37161:1	38654:1	41074:1	42351:1	43300:4	45558:1	46530:1	48445:1	49127:1																																																																																																																																																																															
1	3419:4	4947:4	5699:7	8186:4	8938:4	11920:4	17195:3	19242:1	21199:4	24377:1	27026:4	30643:4	33988:12	38234:1	38327:4	39887:4	41895:1	43649:1	45090:20	45903:28	46116:4	46728:1																																																																																																																																																																																																
1	472:1	760:1	1221:1	1262:1	1506:1	3202:1	3885:3	4695:1	4834:1	4961:1	5458:1	5565:3	6639:1	7644:1	7717:1	8129:1	8130:1	8938:3	9331:2	9387:1	9595:1	9625:1	9729:1	10264:1	11083:1	11229:1	11257:1	11553:1	11808:1	11899:1	11961:1	12513:1	12794:1	13744:1	13854:6	14010:1	15119:1	16730:3	17299:1	17422:1	17994:1	18941:1	18992:1	19311:1	19863:1	20575:2	21337:6	21340:1	21444:3	21822:1	22188:1	22315:1	22367:1	22427:1	23873:1	23899:1	24143:1	24786:1	25093:1	25796:2	26243:2	26643:1	27171:1	27481:1	27588:1	27927:1	28070:1	29583:1	29980:5	30337:1	30584:1	33275:4	33561:1	33617:1	33891:1	34088:1	34094:1	34297:11	34814:2	35466:1	36503:1	36630:1	36975:1	37634:1	39155:1	39161:1	39993:1	40192:1	40580:1	41105:1	41447:1	41926:1	42351:1	43300:4	44104:1	44337:1	44360:4	44374:1	44442:1	44621:2	44749:2	44909:1	45267:1	45293:1	45369:1	45903:3	47143:2	47719:4	47770:1	47842:1	47906:1	48400:1	48618:1	49191:1	49207:4																																																																																																			
1	2312:1	5699:3	8938:4	9465:1	11920:3	12704:3	16828:3	19242:3	19746:3	21122:1	21199:3	22168:3	22826:1	23064:3	27026:3	28661:1	33988:9	35454:3	39887:3	45090:15	45903:21	46116:3																																																																																																																																																																																																
1	3419:4	4947:1	5699:7	6884:3	8186:4	8938:4	11920:4	17661:3	19242:1	21199:4	24377:1	27026:1	30643:1	33988:9	38234:1	38327:1	39887:4	41895:1	43649:1	45090:14	45903:22	46116:1	46728:1	48673:3																																																																																																																																																																																														
1	5699:4	8938:4	11920:4	15627:4	16828:4	19242:4	21122:1	21199:4	21559:1	22168:4	27026:4	28252:1	33988:12	35454:4	39887:4	45090:20	45556:4	45584:4	45903:28	46116:4	48764:1																																																																																																																																																																																																	
1	3419:4	4947:4	5699:4	8186:4	8938:4	11920:4	19242:4	21199:4	24377:1	27026:4	30643:4	33988:12	38234:1	38327:4	39887:4	41895:1	43649:1	45090:20	45903:28	46116:4	46728:4																																																																																																																																																																																																	
1	5699:7	8938:4	11920:1	16828:1	18767:1	19242:1	21122:1	21199:1	22168:1	22826:3	27026:1	29323:1	32087:1	33988:9	35454:1	39185:1	39887:1	45090:11	45903:13	46094:1	46116:1																																																																																																																																																																																																	
-1	1373:1	1764:1	3022:2	3885:1	3988:1	4628:2	5231:2	7399:1	8938:3	9569:1	11115:2	11125:1	13854:2	14449:1	17330:1	19863:1	20684:1	23360:1	25155:1	29980:1	33275:3	33281:2	34297:3	36349:1	37463:1	40336:1	42082:1	45903:1	46911:1	49097:1																																																																																																																																																																																								
1	760:3	1210:1	3885:2	3988:1	4902:1	6468:1	8938:1	11942:1	12458:3	12990:1	13854:6	14427:2	18660:2	21261:1	21444:1	24663:1	26643:3	27876:1	29341:1	29980:9	31023:2	33275:3	34297:15	37506:1	37804:1	38382:1	39069:1	39300:1	40103:1	42299:1	43094:1	43300:6	43457:6	45903:2	47163:3	49281:1																																																																																																																																																																																		
